"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","Site"
"80","233","240","247","254","261","268","275","282",NA,NA,NA,NA,NA,NA,"BAC.MSLA_Bro055_Mem187.20190818_2019"
"81","282","289","296","303","310","317",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.MSLA_Bro067_Mem159.20191006_2019"
"82","245","252","259","266","273","280","287","294","301","308",NA,NA,NA,NA,"BAC.TRMR_Bro033_Mem172.20190830_2019"
"83","245","252","259","266","273","280","287","294","301","308",NA,NA,NA,NA,"BAC.TRMR_Bro040_Mem217.20190830_2019"
"84","245","252","259","266","273","280","287","294","301","308",NA,NA,NA,NA,"BAC.TRMR_Bro043_Mem148.20190830_2019"
"85","247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec001_Mem037.20200831_2020"
"86","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,"BAC.TRMR_Rec001_Mem174.20210530_2021"
"87","248","255","262","269","276","283","290","297","304",NA,NA,NA,NA,NA,"BAC.TRMR_Rec002_Mem049.20200901_2020"
"88","247","254","261","268","275","282","289","296","303",NA,NA,NA,NA,NA,"BAC.TRMR_Rec010_Mem073.20200831_2020"
"89","247","254","261","268","275","282","289","296","303",NA,NA,NA,NA,NA,"BAC.TRMR_Rec017_Mem098.20200831_2020"
"90","247","254","261","268","275","282","289","296","303",NA,NA,NA,NA,NA,"BAC.TRMR_Rec018_Mem030.20200831_2020"
"91","247","254","261","268","275","282","289","296","303",NA,NA,NA,NA,NA,"BAC.TRMR_Rec027_Mem110.20200831_2020"
"92","248","255","262","269","276","283","290","297","304",NA,NA,NA,NA,NA,"BAC.TRMR_Rec037_Mem087.20200901_2020"
"93","247","254","261","268","275","282","289","296","303",NA,NA,NA,NA,NA,"BAC.TRMR_Rec039_Mem094.20200831_2020"
"94","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,"BAC.TRMR_Rec040_Mem151.20210529_2021"
"95","248","255","262","269","276","283","290","297","304",NA,NA,NA,NA,NA,"BAC.TRMR_Rec042_Mem088.20200901_2020"
"96","248","255","262","269","276","283","290","297","304",NA,NA,NA,NA,NA,"BAC.TRMR_Rec046_Mem107.20200901_2020"
"97","247","254","261","268","275","282","289","296","303",NA,NA,NA,NA,NA,"BAC.TRMR_Rec048_Mem093.20200831_2020"
"98","248","255","262","269","276","283","290","297","304",NA,NA,NA,NA,NA,"BAC.TRMR_Rec052_Mem038.20200901_2020"
"99","248","255","262","269","276","283","290","297","304",NA,NA,NA,NA,NA,"BAC.TRMR_Rec060_Mem083.20200901_2020"
"100","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,"Baggs_Wild_Grasslands_21_dep_01_2021"
"101","250","257","264","271","278",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baggs_Wild_Grasslands_21_dep_01_USE_2021"
"102","250","257","264","271","278","285","292","299","304",NA,NA,NA,NA,NA,"Baggs_Wild_Grasslands_21_dep_02_USE_2021"
"103","250","257","264","271","278","285","292","299","304",NA,NA,NA,NA,NA,"Baggs_Wild_Grasslands_21_dep_03_USE_2021"
"104","250","257","264","271","278","285","292","299","304",NA,NA,NA,NA,NA,"Baggs_Wild_Grasslands_21_dep_05_USE_2021"
"105","250","257","264","271","278","285","292","299","304",NA,NA,NA,NA,NA,"Baggs_Wild_Grasslands_21_dep_06_USE_2021"
"106","250","257","264","271","278","285","292","299","304",NA,NA,NA,NA,NA,"Baggs_Wild_Grasslands_21_dep_08_2021"
"107","250","257","264","271","278",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baggs_Wild_Grasslands_21_dep_10_2021"
"108","261","268","275","282","289",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Galena_1_2019"
