Array,Site_Name,Year,Latitude,Longitude,Start_Date,End_Date,Survey_Nights,Habitat,Development_Level,Humans_Per_Camera,Predator_Occupancy,Humans_Per_Camera_Per_Day_1,Disturbance_1
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_4_2019,2019,33.7192,-111.81408,2019-08-26,2019-10-21,56,Desert,Rural,22,0.0023083414710959715,0.06023097930324017,1.971075376706987
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_5_2019,2019,33.71981,-111.80666,2019-08-26,2019-10-21,56,Desert,Rural,23,0.0023083414710959715,0.0792756703977175,0.9253850546784342
McDowell,AZ_Desert_McDowell_Sonoran_Preserve_6_2019,2019,33.71222,-111.78917,2019-09-30,2019-10-21,21,Desert,Rural,4,0.007806032289747388,-0.15560885310083578,-0.8767203425886739
Tucson,AZ_Desert_Res2_dep1_2022,2022,32.21555,-110.88875,2022-08-29,2022-11-08,71,Desert,Suburban,14,0.0016996556692417308,-0.1484559174784967,2.510879975841167
Tucson,AZ_Desert_Res5_dep1_2022,2022,32.224438,-110.880844,2022-09-13,2022-10-27,44,Desert,Suburban,29,0.004422603235939907,0.3441700101663549,2.4855925703145023
Tucson,AZ_Desert_SB3_dep1_2022,2022,32.260218,-110.822554,2022-08-23,2022-11-08,77,Desert,Suburban,5,0.0014110062934279302,-0.2894988026135237,2.639933150559821
Sonoran,AZ_Desert_Sonoran_22_DEER 09/01/2022_2022,2022,32.46622,-110.93786,2022-09-01,2022-11-20,80,Desert,Suburban,9,0.008260327284050207,-0.2387706708800525,2.5227394393683915
Sonoran,AZ_Desert_Sonoran_22_DOVE 10/24/2022_2022,2022,32.43822,-110.92892,2022-10-24,2022-11-02,9,Desert,Suburban,2,0.09000485871539332,-0.12175162448843155,-0.05870422805513169
Sonoran,AZ_Desert_Sonoran_22_MALLOW 08/18/2022_2022,2022,32.41753,-110.92402,2022-08-18,2022-11-10,84,Desert,Suburban,38,0.007191106265682674,0.12371328295149701,1.4925140247288446
Sonoran,AZ_Desert_Sonoran_22_Mallow_10-01_2022,2022,32.41753,-110.92402,2022-09-14,2022-09-28,14,Desert,Suburban,3,0.07727884486212785,-0.13021593164153258,1.4925140247288446
Sonoran,AZ_Desert_Sonoran_22_OWL_09-04_2022,2022,32.44865,-110.94195,2022-08-13,2022-09-04,22,Desert,Suburban,2,0.05824688955015202,-0.2617974337488295,2.3030302655804413
Sonoran,AZ_Desert_Sonoran_22_SNIBBY 10/03/2022_2022,2022,32.43584,-110.91683,2022-10-03,2022-11-09,37,Desert,Suburban,2,0.035822813638417814,-0.30110343011089546,0.3440671916382146
Sonoran,AZ_Desert_Sonoran_22_THRASHER_2022,2022,32.44166,-110.94694,2022-10-28,2022-12-02,35,Desert,Suburban,2,0.03863324727087642,-0.2978092132729319,2.3030302655804413
Sonoran,AZ_Desert_Sonoran_23_DAVID_09-23-2023_2023,2023,32.44991,-110.92865,2023-08-27,2023-09-23,27,Desert,Suburban,2,0.048824604326326064,-0.2797520246796497,1.1437912964844552
Sonoran,AZ_Desert_Sonoran_23_DEER_11-11-2023_2023,2023,32.46622,-110.93786,2023-09-16,2023-11-11,56,Desert,Suburban,8,1,-0.20639469601944108,2.5227394393683915
Sonoran,AZ_Desert_Sonoran_23_DOVE_10-29-2023_2023,2023,32.43822,-110.92892,2023-08-20,2023-10-29,70,Desert,Suburban,11,0.011679915158314411,-0.19115894314385956,-0.05870422805513169
Tucson,AZ_Desert_Tucson_AC2_dep1_2022,2022,32.282793,-110.739291,2022-09-07,2022-11-12,66,Desert,Suburban,38,0.0020711772753135593,0.25529478505879494,1.863118025728198
Tucson,AZ_Desert_Tucson_AC3_depl1_2022,2022,32.266866,-110.750661,2022-09-07,2022-11-12,66,Desert,Suburban,5,0.0020711772753135593,-0.2779565655865677,2.120124988500164
Tucson,AZ_Desert_Tucson_AC4_dep1_2022,2022,32.256277,-110.762075,2022-09-07,2022-10-31,54,Desert,Suburban,5,0.0031137992681368122,-0.2600019746557475,2.395268655580435
Tucson,AZ_Desert_Tucson_Res3_dep1_2022,2022,32.277661,-110.866838,2022-09-13,2022-11-23,71,Desert,Suburban,116,0.0016996556692417308,1.3837028928264903,2.4063502312113014
Harrity,AZ_Forest_1001_20220718_2022,2022,31.35955,-110.78466,2022-08-06,2022-09-13,38,Forest,Wild,2,0.011421307865463026,-0.30262050365469456,-0.24755934947488156
SRER2,AZ_Forest_Rural_SRER2_2023_10_2023,2023,31.764158,-110.84574,2023-09-16,2023-11-10,55,Forest,Rural,5,0.1770577457958786,-0.2617974337488295,-0.31545048345281407
SRER2,AZ_Forest_Rural_SRER2_2023_11_2023,2023,31.765504,-110.847265,2023-09-16,2023-11-10,55,Forest,Rural,4,0.1770577457958786,-0.28118839195411544,-0.31545048345281407
SRER2,AZ_Forest_Rural_SRER2_2023_12_2023,2023,31.767271,-110.848459,2023-09-16,2023-11-10,55,Forest,Rural,4,0.1770577457958786,-0.28118839195411544,-0.31545048345281407
