"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","Site"
"92","234","241","248","255","262","269","276","283","290","296",NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec057_Mem099.20190819_2019"
"93","234","241","248","255","262","269","276","283","290","296",NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec060_Mem046.20190819_2019"
"94","234","241","248","255","262","269","276","283","290","296",NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec063_Mem108.20190819_2019"
"95","234","241","248","255","262","269","276","283","290","296",NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec064_Mem042.20190819_2019"
"96","246","253","260","267","274","281","288","295","302","309",NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec012_Mem063.20190831_2019"
"97","246","253","260","267","274","281","288","295","302","307",NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec020_Mem081.20190831_2019"
"98","246","253","260","267","274","281","288","295","302","309",NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec023_Mem064.20190831_2019"
"99","246","253","260","267","274","281","288","295","302","309",NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec027_Mem091.20190831_2019"
"100","246","253","260","267","274","281","288","295","302","307",NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec030_Mem089.20190831_2019"
"101","246","253","260","267","274","281","288","295","302","307",NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec032_Mem075.20190831_2019"
"102","246","253","260","267","274","281","288","295","302","307",NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec036_Mem018.20190831_2019"
"103","246","253","260","267","274","281","288","295","302","307",NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec040_Mem068.20190831_2019"
"104","233","240","247","254","261","268","275","282","289","296","303","310","316",NA,NA,NA,NA,"BAC.MSLA_Bro007_Mem209.20190730_2019"
"105","232","239","246","253","260","267","274","281","288","294",NA,NA,NA,NA,NA,NA,NA,"BAC.MSLA_Bro031_Mem207.20190730_2019"
"106","250","257","264","271","278","285","292","299","306","313","320",NA,NA,NA,NA,NA,NA,"BAC.MSLA_Bro072_Mem212.20190904_2019"
"107","238","245","252","259","266","273","280","287","294","301","308","315",NA,NA,NA,NA,NA,"BAC.MSLA_Bro074_Mem214.20190823_2019"
"108","250","257","264","271","278","285","292","299","306","313","320",NA,NA,NA,NA,NA,NA,"BAC.MSLA_Bro078_Mem194.20190904_2019"
"109","245","252","259","266","273","280","287","294","301","308",NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Bro016_Mem116.20190830_2019"
"110","245","252","259","266","273","280","287","294","301","308",NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Bro021_Mem210.20190830_2019"
"111","245","252","259","266","273","280","287","294","301","307",NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Bro029_Mem195.20190830_2019"
"112","245","252","259","266","273","280","287","294","301","308",NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Bro032_Mem204.20190830_2019"
"113","245","252","259","266","273","280","287","294","301","307",NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Bro037_Mem205.20190830_2019"
"114","245","252","259","266","273","280","287","294","301","308",NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Bro042_Mem144.20190830_2019"
"115","245","252","259","266","273","280","287","294","301","308",NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Bro073_Mem169.20190830_2019"
"116","247","254","261","268","273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec004_Mem102.20200831_2020"
"117","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec004_Mem135.20210530_2021"
"118","248","255","262","269","276","283","290","297","304",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec006_Mem085.20200901_2020"
"119","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec010_Mem195.20210530_2021"
"120","247","254","261","268","275","282","289","296","303",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec014_Mem020.20200831_2020"
"121","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec014_Mem210.20210529_2021"
"122","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec017_Mem159.20210529_2021"
"123","247","254","261","268","275","282","289","296","303",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec025_Mem076.20200831_2020"
"124","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec027_Mem113.20210530 08/23/2021_2021"
"125","247","254","261","268","275","282","289","296","303",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec036_Mem069.20200831_2020"
"126","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec036_Mem165.20210529 08/23/2021_2021"
"127","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec039_Mem137.20210529_2021"
"128","247","254","261","268","275","282","289","296","303",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec040_Mem100.20200831_2020"
"129","247","254","261","268","275","282","289","296","303",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec041_Mem099.20200831_2020"
"130","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec042_Mem144.20210530_2021"
"131","248","255","262","269","276","283","290","297","304",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec043_Mem081.20200901_2020"
"132","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec043_Mem204.20210530_2021"
"133","247","254","261","268","275","282","289","296","303",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec044_Mem065.20200831_2020"
"134","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec044_Mem172.20210529_2021"
"135","247","254","261","268","275","282","289","296","303",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec045_Mem064.20200831_2020"
"136","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec045_Mem216.20210529_2021"
"137","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec046_Mem117.20210530_2021"
"138","238","245","252","259","266","271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec048_Mem148.20210529.fix_2021"
"139","248","255","262","269","276","283","290","297","304",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec049_Mem095.20200901_2020"
"140","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec049_Mem211.20210530_2021"
"141","247","254","261","268","275","282","289","296","303",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec050_Mem060.20200831_2020"
"142","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec050_Mem150.20210529_2021"
"143","247","254","261","268","275","282","289","296","303",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec051_Mem036.20200831_2020"
"144","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec051_Mem187.20210529_2021"
"145","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec052_Mem152.20210530_2021"
"146","248","255","262","269","276","283","290","297","304",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec056_Mem033.20200901_2020"
"147","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec056_Mem219.20210530_2021"
"148","247","254","261","268","275","282","289","296","303",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec058_Mem097.20200831_2020"
"149","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec058_Mem173.20210529_2021"
"150","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec060_Mem194.20210530_2021"
"151","247","254","261","268","275","282","289","296","303",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec063_Mem079.20200831_2020"
"152","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec063_Mem139.20210529_2021"
"153","247","254","261","268","275","282","289","296","303",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec064_Mem061.20200831_2020"
"154","238","245","252","259","266","273","280","287","294",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.TRMR_Rec064_Mem214.20210529_2021"
"155","281","288","295","302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FL_Forest_Melrose_12_54/FL20_N26_2022"
"156","247","254","261","268","275","282","288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Galena_2_2019"
"157","247","254","261","268","275","282","289","295",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Galena_3_2019"
"158","247","254","261","268","275","282","288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Galena_7_2019"
"159","247","254","261","268","275","282","288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Galena_8_2019"
"160","247","254","261","268","275","282","289","295",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Hailey_10_2019"
"161","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_01_01_2022"
"162","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_02_01_2022"
"163","250","257","264","271","278","285","292","298",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_03_01_2022"
"164","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_05_01_2022"
"165","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_08_01_2022"
"166","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_10_01_2022"
"167","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_12_01_2022"
"168","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_13_01_2022"
"169","249","256","263","270","277","284","291","298",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_14_01_2022"
"170","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_16_01_2022"
"171","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_18_01_2022"
"172","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_19_01_2022"
"173","250","257","264","271","278","285","292","299","304",NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_20_01_2022"
"174","250","257","264","271","278","285","292","299","304",NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_31_01_2022"
"175","252","259","266","273","280","287","294","301",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_32_01_2022"
"176","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_34_01_2022"
"177","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_35_01_2022"
"178","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_36_01_2022"
"179","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_37_01_2022"
"180","250","257","264","271","278","283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_38_01_2022"
"181","253","260","267","274","281","288","295","301",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_40_01_2022"
"182","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_41_01_2022"
"183","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_42_01_2022"
"184","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_43_01_2022"
"185","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_44_01_2022"
"186","250","257","264","271","278","285","292","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rachlow_UIEF_22_54_01_2022"
"187","243","250","257","264","271","278","285","292",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_17_2023"
"188","244","251","258","265","272","279","286","293",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_1_2023"
"189","244","251","258","265","272","279","286","293",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_20_2023"
"190","243","250","257","264","271","278","285","292",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_31_2023"
"191","243","250","257","264","271","278","285","292",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ID_Forest_Rural_Rachlow_23_32_2023"
