Array,Site_Name,Survey_Days,Latitude,Longitude,Time_Zone,Year,Humans_Per_Camera,Humans_Per_Camera_Per_Day
MA_Forest_Amherst,MA_Forest_Amherst_20,27,42.37475,-72.53228,America/New_York,2019,0,0
MA_Forest_Amherst,MA_Forest_Amherst_4,30,42.39448,-72.51022,America/New_York,2019,2,0.0666666666666667
MA_Forest_Amherst,MA_Forest_Amherst_5,29,42.42257,-72.54245,America/New_York,2019,0,0
MA_Forest_Amherst,MA_Forest_Amherst_6,28,42.42845,-72.49945,America/New_York,2019,0,0
MA_Forest_Amherst,MA_Forest_Amherst_7,29,42.37867,-72.4835,America/New_York,2019,11,0.379310344827586
MA_Forest_Amherst,MA_Forest_Amherst_8,27,42.42917,-72.52433,America/New_York,2019,0,0
MA_Forest_Amherst,MA_Forest_Amherst_9,27,42.3154,-72.52045,America/New_York,2019,0,0
MA_Forest_Bridgewater_State_University,MA_Forest_Bridgewater_State_University_1,69,41.98605,-70.95812,America/New_York,2019,4,0.0579710144927536
MA_Forest_Bridgewater_State_University,MA_Forest_Bridgewater_State_University_2,69,41.98637,-70.9559,America/New_York,2019,4,0.0579710144927536
MA_Forest_Bridgewater_State_University,MA_Forest_Bridgewater_State_University_3,69,41.98608,-70.9538,America/New_York,2019,5,0.072463768115942
MA_Forest_Bridgewater_State_University,MA_Forest_Bridgewater_State_University_4,69,41.98403,-70.9588,America/New_York,2019,5,0.072463768115942
MA_Forest_Bridgewater_State_University,MA_Forest_Bridgewater_State_University_5,69,41.98438,-70.96135,America/New_York,2019,4,0.0579710144927536
MA_Forest_Bridgewater_State_University,MA_Forest_Bridgewater_State_University_6,69,41.9834,-70.96362,America/New_York,2019,4,0.0579710144927536
MA_Forest_Bridgewater_State_University,MA_Forest_Bridgewater_State_University_7,69,41.98907,-70.9601,America/New_York,2019,37,0.536231884057971
