Array,Site_Name,Year,Latitude,Longitude,Start_Date,End_Date,Survey_Nights,Habitat,Development_Level,Humans_Per_Camera,Predator_Occupancy,Humans_Per_Camera_Per_Day_1,Disturbance_1
MTHansen,BAC.AROW_Rec003_Mem048.20190901_2019,2019,48.04665,-112.7181,2019-09-01,2019-11-05,65,Forest,Wild,2,1,0.4467887409745553,0.680951249715624
MTHansen,BAC.AROW_Rec010_Mem098.20190831_2019,2019,48.10016,-112.63235,2019-08-31,2019-11-07,68,Forest,Wild,2,0.03512670361536599,0.356976304380975,-0.27982108344192996
MTHansen,BAC.AROW_Rec018_Mem059.20190901_2019,2019,48.07125,-112.71844,2019-09-01,2019-11-05,65,Forest,Wild,2,0.037086710793786226,0.4467887409745553,-1.6000229131958805
MTHansen,BAC.AROW_Rec021_Mem072.20180830_2019,2019,48.08834,-112.715,2019-08-30,2019-11-06,68,Forest,Wild,1,0.03512670361536599,-0.6159917587161602,0.05228541058710427
MTHansen,BAC.AROW_Rec024_Mem035.20190901_2019,2019,48.0583,-112.71178,2019-09-01,2019-11-05,65,Forest,Wild,2,0.037086710793786226,0.4467887409745553,0.6057408654721931
MTHansen,BAC.AROW_Rec028_Mem009.20190901_2019,2019,48.06534,-112.70638,2019-09-01,2019-11-05,65,Forest,Wild,3,1,1.4646630223684807,-1.5947240059322811
MTHansen,BAC.AROW_Rec033_Mem013.20190901_2019,2019,48.07642,-112.70396,2019-09-01,2019-11-05,65,Forest,Wild,2,0.037086710793786226,0.4467887409745553,-1.4624875785392324
MTHansen,BAC.AROW_Rec038_Mem079.20190901_2019,2019,48.0567,-112.69405,2019-09-01,2019-11-05,65,Forest,Wild,2,0.037086710793786226,0.4467887409745553,-0.04215646825309725
MTHansen,BAC.AROW_Rec041_Mem050.20190901_2019,2019,48.08186,-112.69195,2019-09-01,2019-11-05,65,Forest,Wild,2,0.037086710793786226,0.4467887409745553,-0.7422645082137194
MTHansen,BAC.AROW_Rec047_Mem058.20190901_2019,2019,48.09279,-112.69278,2019-09-01,2019-11-05,65,Forest,Wild,2,0.037086710793786226,0.4467887409745553,-0.2507708024629608
MTHansen,BAC.AROW_Rec051_Mem036.20190831_2019,2019,48.10173,-112.62114,2019-08-31,2019-11-07,68,Forest,Wild,2,0.03512670361536599,0.356976304380975,1.7408598554599268
MTHansen,BAC.AROW_Rec059_Mem083.20190901_2019,2019,48.08905,-112.70071,2019-09-01,2019-11-05,65,Forest,Wild,2,0.037086710793786226,0.4467887409745553,-0.13728267109303785
MTHansen,BAC.AROW_Rec061_Mem060.20190901_2019,2019,48.08092,-112.71297,2019-09-01,2019-11-05,65,Forest,Wild,2,0.037086710793786226,0.4467887409745553,-1.6000229131958805
Blackfoot,BAC.BLCH_Rec004_Mem071.20190819_2019,2019,47.08567,-113.11209,2019-08-19,2019-10-24,66,Forest,Wild,2,0.006379329179409915,0.4159440657807979,-0.831905402572508
Blackfoot,BAC.BLCH_Rec006_Mem033.20190819_2019,2019,47.04922,-113.05653,2019-08-19,2019-10-24,66,Forest,Wild,2,0.006379329179409915,0.4159440657807979,-0.8624912025039188
Blackfoot,BAC.BLCH_Rec025_Mem065.20190819_2019,2019,47.0879,-113.09731,2019-08-19,2019-10-24,66,Forest,Wild,2,0.006379329179409915,0.4159440657807979,-0.8838101149388274
Blackfoot,BAC.BLCH_Rec039_Mem084.20190819_2019,2019,47.05059,-113.0883,2019-08-19,2019-10-24,66,Forest,Wild,2,0.006379329179409915,0.4159440657807979,-0.4503917108641324
Blackfoot,BAC.BLCH_Rec042_Mem097.20190819_2019,2019,47.07802,-113.07108,2019-08-19,2019-10-24,66,Forest,Wild,2,0.006379329179409915,0.4159440657807979,-0.5541083231974777
Blackfoot,BAC.BLCH_Rec044_Mem077.20190819_2019,2019,47.07802,-113.08601,2019-08-19,2019-10-24,66,Forest,Wild,2,0.006379329179409915,0.4159440657807979,-0.7430977147838745
Blackfoot,BAC.BLCH_Rec045_Mem094.20190819_2019,2019,47.06007,-113.07124,2019-08-19,2019-10-24,66,Forest,Wild,2,0.006379329179409915,0.4159440657807979,-0.5458598843381733
Blackfoot,BAC.BLCH_Rec046_Mem023.20190819_2019,2019,47.07014,-113.10805,2019-08-19,2019-10-24,66,Forest,Wild,3,0.006379329179409915,1.4183960095778476,-0.5701794120739628
Blackfoot,BAC.BLCH_Rec050_Mem109.20190819_2019,2019,47.08127,-113.09924,2019-08-19,2019-10-24,66,Forest,Wild,2,0.006379329179409915,0.4159440657807979,-0.9925246271326968
Blackfoot,BAC.BLCH_Rec057_Mem099.20190819_2019,2019,47.06623,-113.09838,2019-08-19,2019-10-24,66,Forest,Wild,2,0.006379329179409915,0.4159440657807979,-0.8297600009055289
Blackfoot,BAC.BLCH_Rec060_Mem046.20190819_2019,2019,47.06229,-113.05164,2019-08-19,2019-10-24,66,Forest,Wild,2,0.006379329179409915,0.4159440657807979,-0.8555080741273555
Blackfoot,BAC.BLCH_Rec063_Mem108.20190819_2019,2019,47.05593,-113.08179,2019-08-19,2019-10-24,66,Forest,Wild,2,0.006379329179409915,0.4159440657807979,-0.286583184352126
