"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","Site"
"57","272","279","286","293","300","307","314","320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1101_20220926_2022"
"58","223","230","237","244","251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1102_20220722_2022"
"59","273","280","287","294","301","308","315","320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1102_20220926_2022"
"60","221","228","235","242","249","256","263","268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1103_20220722_2022"
"61","272","279","286","293","300","307","314","320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1103_20220926_2022"
"62","217","224","231","238","245","252","259","265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1104_20220722_2022"
"63","272","279","286","293","300","307","314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1104_20220926_2022"
"64","272","279","286","293","300","307","314","319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1105_20220926_2022"
"65","275","282","289","296","303","310","316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1106_20220926_2022"
"66","276","283","290","297","304","311","316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1107_20220926_2022"
"67","272","279","286","293","300","307","314","319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_1108_20220926_2022"
"68","260","267","274","281","288","295","302","308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1001_20220913_2022"
"69","264","271","278","285","292","299","306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1002_20220913_2022"
"70","260","267","274","281","288","295","302","308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1003_20220913_2022"
"71","260","267","274","281","288","295","302","308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1004_20220913_2022"
"72","260","267","274","281","288","295","302","308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1005_20220913_2022"
"73","262","269","276","283","290","297","304","310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1006_20220913_2022"
"74","260","267","274","281","288","295","302","308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1007_20220913_2022"
"75","260","267","274","281","288","295","302","308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Harrity_1008_20220913_2022"
"76","262","269","276","283","290","297","304","311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_10_2023"
"77","262","269","276","283","290","297","304","311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_11_2023"
"78","262","269","276","283","290","297","304","311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_12_2023"
"79","262","269","276","283","290","297","304","311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_13_2023"
"80","262","269","276","283","290","297","304","311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_14_2023"
"81","262","269","276","283","290","297","304","311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_15_2023"
"82","280","287","294","301","308","313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_16_2023"
"83","262","268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_17_2023"
"84","262","269","276","283","290","297","304","311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_18_2023"
"85","262","269","276","283","290","297","304","311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Rural_SRER2_2023_19_2023"
"86","216","223","230","237","244","251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100320230717_2023"
"87","259","266","273","280","287","294","301","308","315","322","329","334",NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100320230912_2023"
"88","216","223","230","237","244","251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100420230717_2023"
"89","259","266","273","280","287","294","301","308","315","322","329","334",NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100420230912_2023"
"90","216","223","230","237","244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100520230717_2023"
"91","258","265","272","279","286","293","300","307","314",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100520230912_2023"
"92","220","227","234","241","248","253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100620230717_2023"
"93","259","266","273","280","287","294","301","307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100620230912_2023"
"94","216","223","230","237","244","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100720230717_2023"
"95","261","268","275","282","289","296","303","310","317","324","331",NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100720230912_2023"
"96","216","223","230","237","244","251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100820230717_2023"
"97","259","266","273","280","287","294","301","308","315","322","328",NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_100820230912_2023"
"98","246","253","260","267","274","281","286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_110120230831_2023"
"99","246","253","260","267","274","281","286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_110420230831_2023"
"100","247","254","261","268","275","282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_110520230831_2023"
"101","247","254","261","268","275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_110620230831_2023"
"102","247","254","261","268","275","280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_110720230831_2023"
"103","246","253","260","267","274","281","286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_Harrity_23_110820230831_2023"
"104","255","262","269","276","283","290","297","304","311","318","323",NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_NAU_Loc1 09/09/2023_2023"
"105","255","262","269","276","283","290","297","304","311","318",NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_NAU_Loc2 09/09/2023_2023"
"106","255","262","269","276","283","290","297","304","311","318","323",NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_NAU_Loc3_REAL 09/09/2023_2023"
"107","255","262","269","276","283","290","297","304","311","318","323",NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_NAU_Loc4 09/09/2023_2023"
"108","255","262","269","276","283","290","297","304","311","318","323",NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_NAU_Loc5 09/09/2023_2023"
"109","255","262","269","276","283","290","297","304","311","318","323",NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_NAU_Loc6 09/09/2023_2023"
"110","255","262","269","276","283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_NAU_Loc7 09/09/2023_2023"
"111","255","262","269","276","283","290","297","304","311","318","323",NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_NAU_Loc8 09/09/2023_2023"
"112","276","283","290","297","304","311","318","323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Forest_Wild_NAU_Loc9_09.30.23_2023"
"113","251","258","265","272","279","286","293","300","307","314","321",NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Cienega_10_2019"
"114","250","257","264","271","278","285","292","299","306","313","320",NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Cienega_16_2019"
"115","260","267","274","281","288","295","302","309","316","323",NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Cienega_17_2019"
"116","251","258","265","272","279","286","293","300","307","314","321",NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Cienega_1_2019"
"117","254","261","268","275","282","289","296","303","310","317","322",NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Cienega_22_2019"
"118","232","239","246","253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Cienega_25_2019"
"119","254","261","268","275","282","289","296","303","310","317","322",NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Cienega_29_2019"
"120","262","269","276","283","288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_1_2023"
"121","262","269","276","283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_2_2023"
"122","262","269","276","283","290","297","302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_3_2023"
"123","262","269","275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_4_2023"
"124","262","267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_5_2023"
"125","262","269","276","283","290","297","304","311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_6_2023"
"126","262","269","276","283","290","297","304","311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_7_2023"
"127","262","269","276","283","290","297","304","311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_8_2023"
"128","262","269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Rural_SRER1_2023_9_2023"
"129","239","246","253","260","267","274","281","286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Vermilion_Cliffs_11_2019"
"130","241","248","255","262","269","276","282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Vermilion_Cliffs_12_2019"
"131","238","245","252","259","266","273","280","286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Vermilion_Cliffs_13_2019"
"132","238","245","252","259","266","273","280","285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Vermilion_Cliffs_14_2019"
"133","238","245","252","259","266","273","280","285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Vermilion_Cliffs_7_2019"
"134","238","245","252","259","266","273","280","285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZ_Grassland_Vermilion_Cliffs_8_2019"
"135","247","254","261","268","275","282","289","296","303","308",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec003_Mem048.20190901_2019"
"136","246","253","260","267","274","281","288","295","302","309",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec007_Mem088.20190831_2019"
"137","246","253","260","267","274","281","288","295","302","309",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec010_Mem098.20190831_2019"
"138","247","254","261","268","275","282","289","296","303","308",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec018_Mem059.20190901_2019"
"139","245","252","259","266","273","280","287","294","301","308",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec021_Mem072.20180830_2019"
"140","247","254","261","268","275","282","289","296","303","308",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec024_Mem035.20190901_2019"
"141","247","254","261","268","275","282","289","296","303","308",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec028_Mem009.20190901_2019"
"142","247","254","261","268","275","282","289","296","303","308",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec033_Mem013.20190901_2019"
"143","247","254","261","268","275","282","289","296","303","308",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec038_Mem079.20190901_2019"
"144","247","254","261","268","275","282","289","296","303","308",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec041_Mem050.20190901_2019"
"145","247","254","261","268","275","282","289","296","303","308",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec047_Mem058.20190901_2019"
"146","246","253","260","267","274","281","288","295","302","309",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec051_Mem036.20190831_2019"
"147","246","253","260","267","274","281","288","295","302","309",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec054_Mem014.20190831_2019"
"148","247","254","261","268","275","282","289","296","303","308",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec055_Mem045.20190901_2019"
"149","247","254","261","268","275","282","289","296","303","308",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec059_Mem083.20190901_2019"
"150","247","254","261","268","275","282","289","296","303","308",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.AROW_Rec061_Mem060.20190901_2019"
"151","234","241","248","255","262","269","276","283","290","296",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec004_Mem071.20190819_2019"
"152","234","241","248","255","262","269","276","283","290","296",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec006_Mem033.20190819_2019"
"153","234","241","248","255","262","269","276","283","290","296",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec016_Mem078.20190819_2019"
"154","234","241","248","255","262","269","276","283","290","296",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec025_Mem065.20190819_2019"
"155","234","241","248","255","262","269","276","283","290","296",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec037_Mem041.20190819_2019"
"156","234","241","248","255","262","269","276","283","290","296",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec039_Mem084.20190819_2019"
"157","234","241","248","255","262","269","276","283","290","296",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec042_Mem097.20190819_2019"
"158","234","241","248","255","262","269","276","283","290","296",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec044_Mem077.20190819_2019"
"159","234","241","248","255","262","269","276","283","290","296",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec045_Mem094.20190819_2019"
"160","234","241","248","255","262","269","276","283","290","296",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec046_Mem023.20190819_2019"
"161","234","241","248","255","262","269","276","283","290","296",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec050_Mem109.20190819_2019"
"162","234","241","248","255","262","269","276","283","290","296",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec057_Mem099.20190819_2019"
"163","234","241","248","255","262","269","276","283","290","296",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec060_Mem046.20190819_2019"
"164","234","241","248","255","262","269","276","283","290","296",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec063_Mem108.20190819_2019"
"165","234","241","248","255","262","269","276","283","290","296",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.BLCH_Rec064_Mem042.20190819_2019"
"166","245","252","259","266","273","280","287","294","301","308",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec009_Mem102.20190830_2019"
"167","246","253","260","267","274","281","288","295","302","309",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec012_Mem063.20190831_2019"
"168","246","253","260","267","274","281","288","295","302","307",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec020_Mem081.20190831_2019"
"169","246","253","260","267","274","281","288","295","302","309",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec023_Mem064.20190831_2019"
"170","246","253","260","267","274","281","288","295","302","309",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec027_Mem091.20190831_2019"
"171","246","253","260","267","274","281","288","295","302","307",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec030_Mem089.20190831_2019"
"172","246","253","260","267","274","281","288","295","302","307",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec032_Mem075.20190831_2019"
"173","246","253","260","267","274","281","288","295","302","307",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec036_Mem018.20190831_2019"
"174","246","253","260","267","274","281","288","295","302","307",NA,NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec040_Mem068.20190831_2019"
"175","246","253","259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAC.HMSA_Rec062_Mem051.20190831_2019"
"176","232","239","246","253","260","267","274","279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAC.MSLA_Bro001_Mem117.20190729_2019"
