"","Array","Site_Name","Year","Latitude","Longitude","Start_Date","End_Date","Survey_Days","Humans_Per_Camera_Per_Day"
"344","MT_Arrow S Ranch","BAC.AROW_Rec007_Mem088.20190831_2019",2019,48.09068,-112.62233,"2019-08-31","2019-11-07",58,0.103448275862069
"345","MT_Arrow S Ranch","BAC.AROW_Rec010_Mem098.20190831_2019",2019,48.10016,-112.63235,"2019-08-31","2019-11-07",63,0.0317460317460317
"346","MT_Arrow S Ranch","BAC.AROW_Rec018_Mem059.20190901_2019",2019,48.07125,-112.71844,"2019-09-01","2019-11-05",50,0.04
"347","MT_Arrow S Ranch","BAC.AROW_Rec021_Mem072.20180830_2019",2019,48.08834,-112.715,"2019-08-30","2019-11-06",68,0.0147058823529412
"348","MT_Arrow S Ranch","BAC.AROW_Rec024_Mem035.20190901_2019",2019,48.0583,-112.71178,"2019-09-01","2019-11-05",65,0.0307692307692308
"349","MT_Arrow S Ranch","BAC.AROW_Rec028_Mem009.20190901_2019",2019,48.06534,-112.70638,"2019-09-01","2019-11-05",58,0.0517241379310345
"350","MT_Arrow S Ranch","BAC.AROW_Rec033_Mem013.20190901_2019",2019,48.07642,-112.70396,"2019-09-01","2019-11-05",65,0.0307692307692308
"351","MT_Arrow S Ranch","BAC.AROW_Rec038_Mem079.20190901_2019",2019,48.0567,-112.69405,"2019-09-01","2019-11-05",54,0.037037037037037
"352","MT_Arrow S Ranch","BAC.AROW_Rec041_Mem050.20190901_2019",2019,48.08186,-112.69195,"2019-09-01","2019-11-05",65,0.0307692307692308
"353","MT_Arrow S Ranch","BAC.AROW_Rec047_Mem058.20190901_2019",2019,48.09279,-112.69278,"2019-09-01","2019-11-05",56,0.0357142857142857
"354","MT_Arrow S Ranch","BAC.AROW_Rec051_Mem036.20190831_2019",2019,48.10173,-112.62114,"2019-08-31","2019-11-07",57,0.0350877192982456
"355","MT_Arrow S Ranch","BAC.AROW_Rec054_Mem014.20190831_2019",2019,48.08351,-112.62646,"2019-08-31","2019-11-07",68,0.0588235294117647
"356","MT_Arrow S Ranch","BAC.AROW_Rec055_Mem045.20190901_2019",2019,48.0527,-112.70563,"2019-09-01","2019-11-05",65,0.153846153846154
"357","MT_Arrow S Ranch","BAC.AROW_Rec059_Mem083.20190901_2019",2019,48.08905,-112.70071,"2019-09-01","2019-11-05",55,0.0363636363636364
"358","MT_Arrow S Ranch","BAC.AROW_Rec061_Mem060.20190901_2019",2019,48.08092,-112.71297,"2019-09-01","2019-11-05",65,0.0307692307692308
"359","MT_Blackfoot Challenge","BAC.BLCH_Rec004_Mem071.20190819_2019",2019,47.08567,-113.11209,"2019-08-19","2019-10-24",66,0.0303030303030303
"360","MT_Blackfoot Challenge","BAC.BLCH_Rec006_Mem033.20190819_2019",2019,47.04922,-113.05653,"2019-08-19","2019-10-24",66,0.0303030303030303
"361","MT_Blackfoot Challenge","BAC.BLCH_Rec016_Mem078.20190819_2019",2019,47.06378,-113.08588,"2019-08-19","2019-10-24",66,0.0757575757575758
"362","MT_Blackfoot Challenge","BAC.BLCH_Rec025_Mem065.20190819_2019",2019,47.0879,-113.09731,"2019-08-19","2019-10-24",66,0.0303030303030303
"363","MT_Blackfoot Challenge","BAC.BLCH_Rec037_Mem041.20190819_2019",2019,47.05159,-113.09887,"2019-08-19","2019-10-24",66,0.0606060606060606
"364","MT_Blackfoot Challenge","BAC.BLCH_Rec039_Mem084.20190819_2019",2019,47.05059,-113.0883,"2019-08-19","2019-10-24",66,0.0303030303030303
"365","MT_Blackfoot Challenge","BAC.BLCH_Rec042_Mem097.20190819_2019",2019,47.07802,-113.07108,"2019-08-19","2019-10-24",66,0.0303030303030303
"366","MT_Blackfoot Challenge","BAC.BLCH_Rec044_Mem077.20190819_2019",2019,47.07802,-113.08601,"2019-08-19","2019-10-24",66,0.0303030303030303
"367","MT_Blackfoot Challenge","BAC.BLCH_Rec045_Mem094.20190819_2019",2019,47.06007,-113.07124,"2019-08-19","2019-10-24",66,0.0303030303030303
"368","MT_Blackfoot Challenge","BAC.BLCH_Rec046_Mem023.20190819_2019",2019,47.07014,-113.10805,"2019-08-19","2019-10-24",66,0.0454545454545455
"369","MT_Blackfoot Challenge","BAC.BLCH_Rec050_Mem109.20190819_2019",2019,47.08127,-113.09924,"2019-08-19","2019-10-24",66,0.0303030303030303
"370","MT_Blackfoot Challenge","BAC.BLCH_Rec057_Mem099.20190819_2019",2019,47.06623,-113.09838,"2019-08-19","2019-10-24",66,0.0303030303030303
"371","MT_Blackfoot Challenge","BAC.BLCH_Rec060_Mem046.20190819_2019",2019,47.06229,-113.05164,"2019-08-19","2019-10-24",66,0.0303030303030303
"372","MT_Blackfoot Challenge","BAC.BLCH_Rec063_Mem108.20190819_2019",2019,47.05593,-113.08179,"2019-08-19","2019-10-24",66,0.0303030303030303
"373","MT_Blackfoot Challenge","BAC.BLCH_Rec064_Mem042.20190819_2019",2019,47.04448,-113.07418,"2019-08-19","2019-10-24",66,0.0454545454545455
"374","MT_Heirmosa Ranch","BAC.HMSA_Rec009_Mem102.20190830_2019",2019,48.10101,-112.66422,"2019-08-30","2019-11-07",68,0.132352941176471
"375","MT_Heirmosa Ranch","BAC.HMSA_Rec012_Mem063.20190831_2019",2019,48.10607,-112.65005,"2019-08-31","2019-11-07",61,0.0327868852459016
"376","MT_Heirmosa Ranch","BAC.HMSA_Rec020_Mem081.20190831_2019",2019,48.12629,-112.64433,"2019-08-31","2019-11-04",58,0.0517241379310345
"377","MT_Heirmosa Ranch","BAC.HMSA_Rec023_Mem064.20190831_2019",2019,48.11958,-112.65015,"2019-08-31","2019-11-07",61,0.0327868852459016
"378","MT_Heirmosa Ranch","BAC.HMSA_Rec027_Mem091.20190831_2019",2019,48.11079,-112.64165,"2019-08-31","2019-11-07",61,0.0327868852459016
"379","MT_Heirmosa Ranch","BAC.HMSA_Rec030_Mem089.20190831_2019",2019,48.13914,-112.64834,"2019-08-31","2019-11-04",56,0.0535714285714286
"380","MT_Heirmosa Ranch","BAC.HMSA_Rec032_Mem075.20190831_2019",2019,48.12597,-112.65501,"2019-08-31","2019-11-04",65,0.0307692307692308
"381","MT_Heirmosa Ranch","BAC.HMSA_Rec036_Mem018.20190831_2019",2019,48.13256,-112.63963,"2019-08-31","2019-11-04",59,0.0338983050847458
"382","MT_Heirmosa Ranch","BAC.HMSA_Rec040_Mem068.20190831_2019",2019,48.13319,-112.64832,"2019-08-31","2019-11-04",38,0.0526315789473684
"383","MT_Heirmosa Ranch","BAC.HMSA_Rec062_Mem051.20190831_2019",2019,48.12922,-112.66247,"2019-08-31","2019-09-18",18,0.0555555555555556
"384","MT_Urban-Wild Missoula","BAC.MSLA_Bro001_Mem117.20190729_2019",2019,46.86254,-113.97896,"2019-08-17","2019-10-07",51,0.0980392156862745
"385","MT_Urban-Wild Missoula","BAC.MSLA_Bro002_Mem186.20191012_2019",2019,46.82091,-114.03002,"2019-10-12","2019-11-19",38,0.0789473684210526
"386","MT_Urban-Wild Missoula","BAC.MSLA_Bro007_Mem209.20190730_2019",2019,46.87617,-113.96255,"2019-08-18","2019-11-14",88,0.0227272727272727
"387","MT_Urban-Wild Missoula","BAC.MSLA_Bro024_Mem174.20191012_2019",2019,46.83493,-114.0057,"2019-10-12","2019-11-19",38,5.31578947368421
"388","MT_Urban-Wild Missoula","BAC.MSLA_Bro026_Mem139.20191012_2019",2019,46.81736,-114.06136,"2019-10-12","2019-11-19",38,4.3421052631579
"389","MT_Urban-Wild Missoula","BAC.MSLA_Bro031_Mem207.20190730_2019",2019,46.89771,-114.17403,"2019-08-17","2019-10-22",66,0.0151515151515152
"390","MT_Urban-Wild Missoula","BAC.MSLA_Bro039_Mem189.20190718_2019",2019,46.87191,-114.06057,"2019-08-17","2019-10-06",50,0.14
"391","MT_Urban-Wild Missoula","BAC.MSLA_Bro046_Mem150.20190820_2019",2019,46.84881,-113.97624,"2019-08-20","2019-11-20",92,0.0869565217391304
"392","MT_Urban-Wild Missoula","BAC.MSLA_Bro052_Mem147.20190910_2019",2019,46.88117,-113.97487,"2019-09-10","2019-11-14",65,0.0769230769230769
"393","MT_Urban-Wild Missoula","BAC.MSLA_Bro055_Mem187.20190818_2019",2019,46.86875,-113.99052,"2019-08-18","2019-10-12",55,11.7818181818182
"394","MT_Urban-Wild Missoula","BAC.MSLA_Bro067_Mem159.20191006_2019",2019,46.86777,-114.05781,"2019-10-06","2019-11-17",42,0.0476190476190476
"395","MT_Urban-Wild Missoula","BAC.MSLA_Bro072_Mem212.20190904_2019",2019,46.81645,-114.01799,"2019-09-04","2019-11-19",76,0.0394736842105263
"396","MT_Urban-Wild Missoula","BAC.MSLA_Bro074_Mem214.20190823_2019",2019,46.86262,-113.94162,"2019-08-23","2019-11-14",83,0.0240963855421687
"397","MT_Urban-Wild Missoula","BAC.MSLA_Bro078_Mem194.20190904_2019",2019,46.81915,-114.01406,"2019-09-04","2019-11-19",76,0.0394736842105263
"398","MT_Roosevelt Ranch","BAC.TRMR_Bro016_Mem116.20190830_2019",2019,48.09591,-112.68559,"2019-08-30","2019-11-06",61,0.0491803278688525
"399","MT_Roosevelt Ranch","BAC.TRMR_Bro021_Mem210.20190830_2019",2019,48.11224,-112.65851,"2019-08-30","2019-11-07",62,0.032258064516129
"400","MT_Roosevelt Ranch","BAC.TRMR_Bro029_Mem195.20190830_2019",2019,48.06104,-112.73254,"2019-08-30","2019-11-05",64,0.03125
"401","MT_Roosevelt Ranch","BAC.TRMR_Bro032_Mem204.20190830_2019",2019,48.10326,-112.69839,"2019-08-30","2019-11-06",59,0.0338983050847458
"402","MT_Roosevelt Ranch","BAC.TRMR_Bro033_Mem172.20190830_2019",2019,48.09004,-112.65432,"2019-08-30","2019-11-06",68,0.0588235294117647
"403","MT_Roosevelt Ranch","BAC.TRMR_Bro037_Mem205.20190830_2019",2019,48.1005,-112.70988,"2019-08-30","2019-11-04",56,0.0357142857142857
"404","MT_Roosevelt Ranch","BAC.TRMR_Bro040_Mem217.20190830_2019",2019,48.07983,-112.72232,"2019-08-30","2019-11-06",64,0.0625
"405","MT_Roosevelt Ranch","BAC.TRMR_Bro042_Mem144.20190830_2019",2019,48.11029,-112.68571,"2019-08-30","2019-11-06",57,0.0350877192982456
"406","MT_Roosevelt Ranch","BAC.TRMR_Bro043_Mem148.20190830_2019",2019,48.12199,-112.67567,"2019-08-30","2019-11-06",57,0.0701754385964912
"407","MT_Roosevelt Ranch","BAC.TRMR_Bro073_Mem169.20190830_2019",2019,48.09256,-112.71216,"2019-08-30","2019-11-06",56,0.0357142857142857
"408","MT_Roosevelt_Ranch_20","BAC.TRMR_Rec001_Mem037.20200831_2020",2020,48.09999,-112.68845,"2020-08-31","2020-09-06",6,0.166666666666667
"409","MTHansen","BAC.TRMR_Rec001_Mem174.20210530_2021",2021,48.09999,-112.68845,"2021-08-23","2021-10-23",61,0.0491803278688525
"410","MT_Roosevelt_Ranch_20","BAC.TRMR_Rec002_Mem049.20200901_2020",2020,48.08463,-112.65726,"2020-09-01","2020-11-01",61,0.0491803278688525
"411","MT_Roosevelt_Ranch_20","BAC.TRMR_Rec004_Mem102.20200831_2020",2020,48.09406,-112.68894,"2020-08-31","2020-09-29",29,0.0344827586206897
"412","MTHansen","BAC.TRMR_Rec004_Mem135.20210530_2021",2021,48.09406,-112.68894,"2021-08-23","2021-10-23",61,0.0163934426229508
"413","MT_Roosevelt_Ranch_20","BAC.TRMR_Rec006_Mem085.20200901_2020",2020,48.08917,-112.64357,"2020-09-01","2020-11-01",61,0.0327868852459016
"414","MT_Roosevelt_Ranch_20","BAC.TRMR_Rec010_Mem073.20200831_2020",2020,48.10738,-112.69267,"2020-08-31","2020-11-01",62,0.0483870967741935
"415","MTHansen","BAC.TRMR_Rec010_Mem195.20210530_2021",2021,48.10738,-112.69267,"2021-08-23","2021-10-24",62,0.0161290322580645
"416","MT_Roosevelt_Ranch_20","BAC.TRMR_Rec014_Mem020.20200831_2020",2020,48.07463,-112.72936,"2020-08-31","2020-10-31",61,0.0327868852459016
"417","MTHansen","BAC.TRMR_Rec014_Mem210.20210529_2021",2021,48.07463,-112.72936,"2021-08-23","2021-10-23",61,0.0163934426229508
"418","MT_Roosevelt_Ranch_20","BAC.TRMR_Rec017_Mem098.20200831_2020",2020,48.11575,-112.6833,"2020-08-31","2020-11-01",62,0.145161290322581
"419","MTHansen","BAC.TRMR_Rec017_Mem159.20210529_2021",2021,48.11575,-112.6833,"2021-08-23","2021-10-24",62,0.032258064516129
"420","MT_Roosevelt_Ranch_20","BAC.TRMR_Rec018_Mem030.20200831_2020",2020,48.09874,-112.71037,"2020-08-31","2020-10-31",61,0.0491803278688525
"421","MT_Roosevelt_Ranch_20","BAC.TRMR_Rec025_Mem076.20200831_2020",2020,48.06622,-112.73686,"2020-08-31","2020-10-31",61,0.0327868852459016
"422","MT_Roosevelt_Ranch_20","BAC.TRMR_Rec027_Mem110.20200831_2020",2020,48.1081,-112.70698,"2020-08-31","2020-11-01",62,0.0483870967741935
"423","MTHansen","BAC.TRMR_Rec027_Mem113.20210530 08/23/2021_2021",2021,48.1081,-112.70698,"2021-08-23","2021-10-24",62,0.032258064516129
